graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo10239.91,0,0,0,0,0,0,0,0,91,123,4,87,2.7033,7,0.03
partitioned_grafo1024.20,0,0,0,0,0,0,0,0,20,21,5,15,2.1,4,0.1105
partitioned_grafo10240.97,0,0,0,0,0,0,0,0,97,134,7,90,2.7629,7,0.0288
partitioned_grafo10241.95,0,0,0,0,0,0,0,0,95,128,33,62,2.6947,8,0.0287
partitioned_grafo10242.93,0,0,0,0,0,0,0,0,93,121,8,85,2.6022,8,0.0283
partitioned_grafo10243.95,0,0,0,0,0,0,0,0,95,133,4,91,2.8,8,0.0298
partitioned_grafo10244.99,0,0,0,0,0,0,0,0,99,141,7,92,2.8485,9,0.0291
partitioned_grafo10245.92,0,0,0,0,0,0,0,0,92,135,86,6,2.9348,8,0.0323
partitioned_grafo10246.96,0,0,0,0,0,0,0,0,96,133,24,72,2.7708,8,0.0292
partitioned_grafo10247.95,0,0,0,0,0,0,0,0,95,126,72,23,2.6526,7,0.0282
partitioned_grafo10248.100,0,0,0,0,0,0,0,0,100,126,51,49,2.52,6,0.0255
partitioned_grafo10249.94,0,0,0,0,0,0,0,0,94,130,49,45,2.766,8,0.0297
partitioned_grafo1025.15,0,0,0,0,0,0,0,0,15,16,5,10,2.1333,4,0.1524
partitioned_grafo10250.100,0,0,0,0,0,0,0,0,100,138,33,67,2.76,9,0.0279
